State,CPL,CPRetainer,
AL,$350,"$3,500",
AK,$275,"$2,750",
AZ,$350,"$3,500",
AR,$250,"$2,500",
CA,$350,"$3,500",Avoid
CO,$350,"$3,500",
CT,$275,"$2,750",
DE,$250,"$2,500",
FL,$300,"$3,000",
GA,$350,"$3,500",
HI,$250,"$2,500",
ID,$250,"$2,500",
IL,$300,"$3,000",
IN,$275,"$2,750",
IA,$250,"$2,500",
KS,$250,"$2,500",
KY,$250,"$2,500",
LA,$275,"$2,750",
ME,$250,"$2,500",
MD,$300,"$3,000",
MA,$300,"$3,000",
MI,$300,"$3,000",
MN,$275,"$2,750",
MS,$275,"$2,750",
MO,$300,"$3,000",
MT,$300,"$3,000",
NE,$250,"$2,500",
NV,$350,"$3,500",Avoid
NH,$250,"$2,500",
NJ,$300,"$3,000",
NM,$250,"$2,500",
NY,$300,"$3,000",
NC,$300,"$3,000",
ND,$250,"$2,500",
OH,$300,"$3,000",
OK,$250,"$2,500",
OR,$275,"$2,750",
PA,$300,"$3,000",
RI,$250,"$2,500",
SC,$300,"$3,000",
SD,$250,"$2,500",
TN,$275,"$2,750",
TX,$350,"$3,500",
UT,$350,"$3,500",Avoid
VT,$250,"$2,500",
VA,$300,"$3,000",
WA,$300,"$3,000",
WV,$250,"$2,500",
WI,$275,"$2,750",
WY,$250,"$2,500",
